id,method,llm,family,complexity,ifs,mcs,mcs_total,mcs_matched,mcs_mismatched,high_ifs_low_mcs,mismatch_properties,mismatch_reasons,first_mismatch
coupled_004,D,deepseek-flash,coupled,medium,0.8310344827586207,,0,0,0,False,,,{}
coupled_003,D,deepseek-flash,coupled,medium,0.7453703703703705,,0,0,0,False,,,{}
coupled_001,D,deepseek-flash,coupled,medium,0.7453703703703705,,0,0,0,False,,,{}
coupled_009,D,deepseek-flash,coupled,simple,1.0,,0,0,0,False,,,{}
coupled_010,D,deepseek-flash,coupled,simple,1.0,,0,0,0,False,,,{}
coupled_011,D,deepseek-flash,coupled,simple,1.0,,0,0,0,False,,,{}
coupled_007,D,deepseek-flash,coupled,complex,0.8903803131991052,0.0,3,0,3,False,kernel:diffusion;kernel:diffusion;kernel:diffusion,value_mismatch;value_mismatch;value_mismatch,"{""cand"": ""diff_A"", ""cand_detail"": {""coefficient_param"": ""diffusivity"", ""kernel"": ""MatDiffusion"", ""material_properties"": [], ""operator"": ""diffusion""}, ""property"": ""kernel:diffusion"", ""reason"": ""value_mismatch"", ""ref"": 0.0001, ""ref_detail"": {""coefficient_param"": ""diffusivity"", ""kernel"": ""MatDiffusion"", ""material_properties"": [""D_A""], ""operator"": ""diffusion""}}"
coupled_005,D,deepseek-flash,coupled,complex,0.8236775818639799,0.0,5,0,5,False,kernel:diffusion;kernel:time_derivative;kernel:diffusion;bc:neumann:t:right:t_infinity;bc:neumann:t:right:heat_transfer_coefficient,missing_in_candidate;missing_in_candidate;missing_in_candidate;value_mismatch;value_mismatch,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 30.0, ""ref_detail"": {""coefficient_param"": ""thermal_conductivity"", ""kernel"": ""HeatConduction"", ""material_properties"": [""thermal_conductivity""], ""operator"": ""diffusion""}}"
coupled_014,D,deepseek-flash,coupled,medium,0.9479553903345725,0.3333333333333333,3,1,2,True,kernel:time_derivative;kernel:diffusion,missing_in_candidate;missing_in_candidate,"{""cand"": null, ""property"": ""kernel:time_derivative"", ""reason"": ""missing_in_candidate"", ""ref"": 2400000.0, ""ref_detail"": {""coefficient_param"": ""density_specific_heat"", ""kernel"": ""HeatConductionTimeDerivative"", ""material_properties"": [""density"", ""specific_heat""], ""operator"": ""time_derivative""}}"
coupled_012,D,deepseek-flash,coupled,medium,0.8392156862745098,0.0,5,0,5,False,kernel:diffusion;kernel:time_derivative;kernel:diffusion;bc:neumann:t:right:t_infinity;bc:neumann:t:right:heat_transfer_coefficient,missing_in_candidate;missing_in_candidate;missing_in_candidate;missing_in_candidate;missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 30.0, ""ref_detail"": {""coefficient_param"": ""thermal_conductivity"", ""kernel"": ""HeatConduction"", ""material_properties"": [""thermal_conductivity""], ""operator"": ""diffusion""}}"
coupled_017,D,deepseek-flash,coupled,medium,0.5481171548117154,1.0,2,2,0,False,,,{}
coupled_015,D,deepseek-flash,coupled,medium,0.653386454183267,0.0,5,0,5,False,kernel:diffusion;kernel:time_derivative;kernel:diffusion;bc:neumann:t:right:t_infinity;bc:neumann:t:right:heat_transfer_coefficient,missing_in_candidate;missing_in_candidate;missing_in_candidate;missing_in_candidate;missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 25.0, ""ref_detail"": {""coefficient_param"": ""thermal_conductivity"", ""kernel"": ""HeatConduction"", ""material_properties"": [""thermal_conductivity""], ""operator"": ""diffusion""}}"
coupled_016,D,deepseek-flash,coupled,medium,0.9273356401384083,0.0,2,0,2,True,kernel:diffusion;kernel:diffusion,missing_in_candidate;missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 1e-06, ""ref_detail"": {""coefficient_param"": ""diffusivity"", ""kernel"": ""MatDiffusion"", ""material_properties"": [""D_A""], ""operator"": ""diffusion""}}"
coupled_018,D,deepseek-flash,coupled,complex,0.8677685950413223,0.0,5,0,5,False,kernel:diffusion;kernel:time_derivative;kernel:diffusion;bc:neumann:t:right:t_infinity;bc:neumann:t:right:heat_transfer_coefficient,missing_in_candidate;missing_in_candidate;missing_in_candidate;missing_in_candidate;missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 400.0, ""ref_detail"": {""coefficient_param"": ""thermal_conductivity"", ""kernel"": ""HeatConduction"", ""material_properties"": [""thermal_conductivity""], ""operator"": ""diffusion""}}"
coupled_020,D,deepseek-flash,coupled,complex,0.6382113821138211,0.2,5,1,4,False,kernel:diffusion;kernel:diffusion;bc:neumann:t:left right top bottom:t_infinity;bc:neumann:t:left right top bottom:heat_transfer_coefficient,missing_in_candidate;missing_in_candidate;missing_in_candidate;missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 20.0, ""ref_detail"": {""coefficient_param"": ""thermal_conductivity"", ""kernel"": ""HeatConduction"", ""material_properties"": [""thermal_conductivity""], ""operator"": ""diffusion""}}"
